configuration,trace_decode_only,sample,source_file,ttft_s,total_s,decode_tps,mean_itl_s,p95_itl_s,completion_text_sha256_12
optimized,false,20,run_22.json,0.059338520,4.839430408,26.568526919,0.037638519,0.038070481,5119e79e42b5
optimized,false,21,run_23.json,0.058476819,4.840853796,26.555832092,0.037656512,0.038086782,5119e79e42b5
optimized,false,22,run_24.json,0.079245579,4.990399097,25.859505213,0.038670500,0.039794876,5119e79e42b5
optimized,false,23,run_25.json,0.057674014,4.994783175,25.723555194,0.038874875,0.040059933,5119e79e42b5
optimized,false,24,run_26.json,0.058512011,4.949823681,25.964405576,0.038514265,0.039828340,5119e79e42b5
optimized,false,25,run_27.json,0.059375748,4.965055036,25.888361742,0.038627396,0.040139494,5119e79e42b5
optimized,false,26,run_28.json,0.058628211,5.050512484,25.441294921,0.039306175,0.039969171,5119e79e42b5
optimized,false,27,run_29.json,0.058377253,4.973923393,25.836396686,0.038705088,0.039898575,5119e79e42b5
optimized,false,28,run_30.json,0.057953964,4.949283478,25.964310856,0.038514406,0.039929486,5119e79e42b5
optimized,false,29,run_31.json,0.057925970,4.968057701,25.864886516,0.038662455,0.039883383,5119e79e42b5
optimized,false,30,run_32.json,0.058541969,4.948478140,25.971709151,0.038503434,0.039777114,5119e79e42b5
optimized,false,31,run_33.json,0.057814426,5.046781562,25.456170894,0.039283206,0.040057755,5119e79e42b5
optimized,false,32,run_34.json,0.058598065,4.962239696,25.899119380,0.038611351,0.040199304,5119e79e42b5
