experiment,configuration,sample,source_file,swiglu_in0_block_w,down_projection_110_cores,ttft_s,total_s,decode_tps,e2e_tps,completion_text_sha256_12
swiglu_k_blocking,k_block_4,13,run_15.json,4,false,0.057980458,4.925258710,26.092611399,25.988482542,c917933082e3
swiglu_k_blocking,k_block_4,14,run_16.json,4,false,0.058412900,4.909105547,26.181827884,26.073996327,c917933082e3
swiglu_k_blocking,k_block_4,15,run_17.json,4,false,0.058023055,4.829488534,26.616560585,26.503841783,c917933082e3
swiglu_k_blocking,k_block_4,16,run_18.json,4,false,0.058236060,4.838514970,26.567487461,26.454397846,c917933082e3
swiglu_k_blocking,k_block_4,17,run_19.json,4,false,0.058421782,4.891052140,26.279684270,26.170238292,c917933082e3
swiglu_k_blocking,k_block_4,18,run_20.json,4,false,0.058349177,4.835712378,26.583702067,26.469729793,c917933082e3
swiglu_k_blocking,k_block_4,19,run_21.json,4,false,0.058211989,4.835846355,26.582193251,26.468996449,c917933082e3
swiglu_k_blocking,k_block_4,20,run_22.json,4,false,0.058180612,4.873749527,26.372792549,26.263146945,c917933082e3
swiglu_k_blocking,k_block_4,21,run_23.json,4,false,0.058178940,4.832822208,26.598845793,26.485559470,c917933082e3
swiglu_k_blocking,k_block_4,22,run_24.json,4,false,0.057989837,4.831480161,26.605270228,26.492916401,c917933082e3
swiglu_k_blocking,k_block_4,23,run_25.json,4,false,0.058265001,4.859776379,26.450005009,26.338660469,c917933082e3
swiglu_k_blocking,k_block_4,24,run_26.json,4,false,0.058040631,4.827055437,26.630238145,26.517201153,c917933082e3
swiglu_k_blocking,k_block_4,25,run_27.json,4,false,0.057893970,4.875298604,26.362742939,26.254802095,c917933082e3
swiglu_k_blocking,k_block_4,26,run_28.json,4,false,0.058114186,4.898813858,26.235876754,26.128773967,c917933082e3
swiglu_k_blocking,k_block_4,27,run_29.json,4,false,0.057827486,4.914612992,26.148982664,26.044777118,c917933082e3
swiglu_k_blocking,k_block_4,28,run_30.json,4,false,0.058271180,5.043922357,25.473101806,25.377075803,c917933082e3
swiglu_k_blocking,k_block_4,29,run_31.json,4,false,0.058402642,5.003970648,25.679557908,25.579686414,c917933082e3
swiglu_k_blocking,k_block_4,30,run_32.json,4,false,0.057760820,4.863141756,26.428706005,26.320433667,c917933082e3
swiglu_k_blocking,k_block_4,31,run_33.json,4,false,0.058263902,4.942590140,26.001539171,25.897352678,c917933082e3
swiglu_k_blocking,k_block_4,32,run_34.json,4,false,0.057735149,4.926326576,26.085573601,25.982849092,c917933082e3
down_projection,110_core_specialization,1,run_01.json,4,true,0.066274184,4.568698711,28.207024735,28.016730386,c041ccb1901d
down_projection,110_core_specialization,2,run_02.json,4,true,0.058266022,4.554413712,28.246403089,28.104605355,c041ccb1901d
down_projection,110_core_specialization,3,run_03.json,4,true,0.058064127,4.585483315,28.051301354,27.914178552,c041ccb1901d
down_projection,110_core_specialization,4,run_04.json,4,true,0.058186310,4.561478263,28.201591486,28.061078585,c041ccb1901d
down_projection,110_core_specialization,5,run_05.json,4,true,0.058096996,4.546767699,28.293454433,28.151867101,c041ccb1901d
down_projection,110_core_specialization,6,run_06.json,4,true,0.058306484,4.605487116,27.929394119,27.792934119,c041ccb1901d
down_projection,110_core_specialization,7,run_07.json,4,true,0.057453580,4.661509656,27.584372975,27.458915554,c041ccb1901d
down_projection,110_core_specialization,8,run_08.json,4,true,0.058469182,4.611129378,27.895778409,27.758926178,c041ccb1901d
down_projection,110_core_specialization,9,run_09.json,4,true,0.058009108,4.690843369,27.413024694,27.287204012,c041ccb1901d
down_projection,110_core_specialization,10,run_10.json,4,true,0.058092272,4.700255369,27.357935804,27.232562904,c041ccb1901d
down_projection,110_core_specialization,11,run_11.json,4,true,0.058345086,4.710194273,27.300971054,27.175099918,c041ccb1901d
down_projection,110_core_specialization,12,run_12.json,4,true,0.058532768,4.688877648,27.427762573,27.298643643,c041ccb1901d
down_projection,110_core_specialization,13,run_13.json,4,true,0.057706135,4.676689149,27.495229927,27.369790021,c041ccb1901d
down_projection,110_core_specialization,14,run_14.json,4,true,0.058190637,4.611971936,27.888910701,27.753854919,c041ccb1901d
down_projection,110_core_specialization,15,run_15.json,4,true,0.058771201,4.554708293,28.247726203,28.102787657,c041ccb1901d
down_projection,110_core_specialization,16,run_16.json,4,true,0.057718564,4.615621410,27.863691766,27.731910534,c041ccb1901d
down_projection,110_core_specialization,17,run_17.json,4,true,0.058330866,4.641472192,27.710251761,27.577457045,c041ccb1901d
down_projection,110_core_specialization,18,run_18.json,4,true,0.058195429,4.669539797,27.540775502,27.411694849,c041ccb1901d
down_projection,110_core_specialization,19,run_19.json,4,true,0.057618102,4.709572760,27.300352075,27.178686162,c041ccb1901d
down_projection,110_core_specialization,20,run_20.json,4,true,0.058209888,4.634060818,27.754400644,27.621562389,c041ccb1901d
down_projection,110_core_specialization,21,run_21.json,4,true,0.058280917,4.546007078,28.299409421,28.156577366,c041ccb1901d
down_projection,110_core_specialization,22,run_22.json,4,true,0.058952556,4.570530184,28.149798246,28.005503705,c041ccb1901d
down_projection,110_core_specialization,23,run_23.json,4,true,0.057941908,4.676324215,27.498806196,27.371925922,c041ccb1901d
down_projection,110_core_specialization,24,run_24.json,4,true,0.059863001,4.715789297,27.277064096,27.142858160,c041ccb1901d
down_projection,110_core_specialization,25,run_25.json,4,true,0.057957964,4.647956376,27.668854888,27.538984802,c041ccb1901d
down_projection,110_core_specialization,26,run_26.json,4,true,0.058628781,4.661665962,27.590478853,27.457994855,c041ccb1901d
down_projection,110_core_specialization,27,run_27.json,4,true,0.057753182,4.662671765,27.579206388,27.452071784,c041ccb1901d
down_projection,110_core_specialization,28,run_28.json,4,true,0.058747198,4.660891391,27.595832437,27.462557966,c041ccb1901d
down_projection,110_core_specialization,29,run_29.json,4,true,0.058309809,4.713947478,27.278755141,27.153463334,c041ccb1901d
down_projection,110_core_specialization,30,run_30.json,4,true,0.057822164,4.640835297,27.711026854,27.581241696,c041ccb1901d
down_projection,110_core_specialization,31,run_31.json,4,true,0.057581390,4.612889796,27.879561312,27.748332534,c041ccb1901d
down_projection,110_core_specialization,32,run_32.json,4,true,0.057837170,4.615921714,27.862581041,27.730106343,c041ccb1901d
