configuration,trace_decode_only,n,mean_ttft_s,stddev_ttft_s,ci_low_ttft_s,ci_high_ttft_s,mean_total_s,stddev_total_s,ci_low_total_s,ci_high_total_s,mean_decode_tps,stddev_decode_tps,ci_low_decode_tps,ci_high_decode_tps,mean_mean_itl_s,stddev_mean_itl_s,ci_low_mean_itl_s,ci_high_mean_itl_s,mean_p95_itl_s,stddev_p95_itl_s,ci_low_p95_itl_s,ci_high_p95_itl_s,completion_text_sha256_12,ttft_change_vs_baseline_pct,ttft_speedup_vs_baseline,ttft_welch_p,decode_change_vs_baseline_pct,decode_welch_p
baseline,true,32,0.61883968703125,0.004760316357686329,0.6171234099641021,0.620555964098398,5.5067198234375,0.05975359360149262,5.485176355593745,5.528263291281255,25.98630518156741,0.3145278395686524,25.872905802729985,26.099704560404835,0.03848724516855315,0.00046376660146533826,0.038320039478259287,0.03865445085884701,0.039622116734375,0.0003930361436519045,0.03948041209350153,0.03976382137524846,5119e79e42b5,nan,nan,nan,nan,nan
optimized,false,32,0.05915110440625,0.0036956637829445105,0.057818675525065394,0.06048353328743461,4.929857381375,0.06795179709564239,4.905358145974724,4.954356616775276,26.079112161649142,0.3620960402302769,25.948562617615405,26.20966170568288,0.038352017928887795,0.0005319301436570125,0.03816023666094556,0.03854379919683003,0.039433112765625,0.0007470511425526401,0.039163772106809436,0.039702453424440565,5119e79e42b5,-90.44161102691803,10.46201407806449,5.023757144383105e-109,0.3571380364899346,0.27801167377512565
