group,omitted_concept,n,mean_tps,stddev_tps,median_tps,min_tps,max_tps,ci_low_tps,ci_high_tps,throughput_change_vs_full_pct,marginal_tps_loss_vs_full,marginal_loss_share_of_total_gain_pct,full_speedup_over_configuration_pct,speedup_vs_baseline_pct,output_sha256_12
baseline,all initial compiler features,64,16.039390029621288,0.1772356583461913,16.035650046618358,15.731215525666872,16.340267046509435,15.995117879414595,16.083662179827982,-19.374101085325957,3.854205261137192,100.0,24.029624904808156,0.0,68e10a82edac
complete feature set,none,64,19.89359529075848,0.2647353905218775,19.882772032017325,19.413537367443176,20.27761218991872,19.82746635776849,19.95972422374847,0.0,0.0,0.0,0.0,24.029624904808156,68e10a82edac
without RMSNorm recognition,JAX RMSNorm recognition,32,16.678023163608547,0.16385035990032756,16.677465540720192,16.398724220703784,17.00389815452893,16.61894880929871,16.737097517918382,-16.16385615647725,3.215572127149933,83.43022515103856,19.280295365977864,3.9816547437766747,9e9b8c4846c0
without SiLU call lowering,SiLU call lowering,32,19.983100584258473,0.29210395130825245,20.022971560127687,19.516450452739658,20.33073109354472,19.87778587927166,20.088415289245287,0.4499201486298121,-0.08950529349999314,-2.32227625244807,-0.44790493408465304,24.587659177524856,68e10a82edac
without rank-3 RoPE fusion,rank-3 decode RoPE fusion,32,19.335455722154354,0.2591993740593735,19.465206312002763,18.901056217546927,19.605799891685688,19.242004382350245,19.428907061958462,-2.8056244255828866,0.5581395686041262,14.481314065754916,2.8866119145286806,20.549819453520012,68e10a82edac
without KV-cache result typing,KV-cache result typing,32,19.785839037620818,0.2885535672668357,19.704028398122823,19.42206554457553,20.23878430130152,19.681804382582786,19.88987369265885,-0.5416630406054335,0.10775625313766213,2.7958099228443376,0.5446130079840072,23.357802267297245,68e10a82edac
without BF8 activation lowering,BF8 activation lowering,32,19.842924093724356,0.25461064772212927,19.882416037356776,19.320068470664093,20.163666634504708,19.751127166187892,19.93472102126082,-0.25471110824126786,0.050671197034123594,1.314698974262023,0.25536154245608955,23.713707672665628,68e10a82edac
without decode layout admission,decode layout admission,32,20.02401811622442,0.2339401086490576,20.053127209699273,19.523411380419972,20.323874339334193,19.9396737127454,20.108362519703437,0.6556020847902078,-0.13042282546593853,-3.38390969419872,-0.6513319390190953,24.84276571144155,68e10a82edac
